5 1 1 
5 2 1 
5 3 2 
5 4 2 
5 5 2 
5 6 2 
5 7 3 
5 8 3 
5 9 2 
5 10 2 
5 11 3 
5 12 3 
5 13 3 
5 14 3 
5 15 4 
5 16 4 
5 17 2 
5 18 2 
5 19 3 
5 20 3 
5 21 3 
5 22 3 
5 23 4 
5 24 4 
5 25 3 
5 26 3 
5 27 4 
5 28 4 
5 29 4 
5 30 4 
5 31 5 
5 32 5 
4 1 1 
4 2 1 
4 3 1 
4 4 1 
4 5 2 
4 6 2 
4 7 2 
4 8 2 
4 9 2 
4 10 2 
4 11 2 
4 12 2 
4 13 3 
4 14 3 
4 15 3 
4 16 3 
4 17 2 
4 18 2 
4 19 2 
4 20 2 
4 21 3 
4 22 3 
4 23 3 
4 24 3 
4 25 3 
4 26 3 
4 27 3 
4 28 3 
4 29 4 
4 30 4 
4 31 4 
4 32 4 
3 1 1 
3 2 1 
3 3 1 
3 4 1 
3 5 1 
3 6 1 
3 7 1 
3 8 1 
3 9 2 
3 10 2 
3 11 2 
3 12 2 
3 13 2 
3 14 2 
3 15 2 
3 16 2 
3 17 2 
3 18 2 
3 19 2 
3 20 2 
3 21 2 
3 22 2 
3 23 2 
3 24 2 
3 25 3 
3 26 3 
3 27 3 
3 28 3 
3 29 3 
3 30 3 
3 31 3 
3 32 3 
2 1 1 
2 2 1 
2 3 1 
2 4 1 
2 5 1 
2 6 1 
2 7 1 
2 8 1 
2 9 1 
2 10 1 
2 11 1 
2 12 1 
2 13 1 
2 14 1 
2 15 1 
2 16 1 
2 17 2 
2 18 2 
2 19 2 
2 20 2 
2 21 2 
2 22 2 
2 23 2 
2 24 2 
2 25 2 
2 26 2 
2 27 2 
2 28 2 
2 29 2 
2 30 2 
2 31 2
2 32 2
